date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:13	30/30	---M--	200	added ('OK')	text/plain	etag:%226613c767-1e%22	https://gensokyoradio.net/robots.txt		(from )
16:38:13	11607/11607	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2022:38:12%20GMT	https://gensokyoradio.net/playing/	C:/My%20Web%20Sites/radio/gensokyoradio.net/playing/index.html	(from )
16:38:14	137/137	---M--	200	added ('OK')	text/css	etag:%226613c5c9-89%22	https://gensokyoradio.net/css/style-gr8-extras.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/style-gr8-extras.css	(from https://gensokyoradio.net/playing/)
16:38:14	299741/299741	---M--	200	added ('OK')	text/css	etag:%226613c5cb-492dd%22	https://gensokyoradio.net/css/style-gr8.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/style-gr8.css	(from https://gensokyoradio.net/playing/)
16:38:14	100782/100782	---M--	200	added ('OK')	text/css	etag:%226613c5cd-189ae%22	https://gensokyoradio.net/fa/css/all.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/fa/css/all.css	(from https://gensokyoradio.net/playing/)
16:38:14	2251/2251	---M--	200	added ('OK')	text/css	etag:%226613c5cb-8cb%22	https://gensokyoradio.net/css/volSlider.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/volSlider.css	(from https://gensokyoradio.net/playing/)
16:38:14	4779/4779	---M--	200	added ('OK')	text/css	etag:%226613c5ca-12ab%22	https://gensokyoradio.net/css/switch.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/switch.css	(from https://gensokyoradio.net/playing/)
16:38:15	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/radio/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://gensokyoradio.net/playing/)
16:38:15	6607/6607	---M--	200	added ('OK')	application/javascript	etag:%226613c5e1-19cf%22	https://gensokyoradio.net/js/jquery-color.js	C:/My%20Web%20Sites/radio/gensokyoradio.net/js/jquery-color.js	(from https://gensokyoradio.net/playing/)
16:38:15	24867/24867	---M--	200	added ('OK')	application/javascript	etag:%22668b9c98-6123%22	https://gensokyoradio.net/js/gr8ws.js	C:/My%20Web%20Sites/radio/gensokyoradio.net/js/gr8ws.js	(from https://gensokyoradio.net/playing/)
16:38:15	3764/3764	---M--	200	added ('OK')	application/javascript	etag:%226613c5e1-eb4%22	https://gensokyoradio.net/js/mid_fullplayer.js	C:/My%20Web%20Sites/radio/gensokyoradio.net/js/mid_fullplayer.js	(from https://gensokyoradio.net/playing/)
16:38:16	23611/23611	---M--	200	added ('OK')	image/png	etag:%226613d01e-5c3b%22	https://gensokyoradio.net/images/gr8_logo.png	C:/My%20Web%20Sites/radio/gensokyoradio.net/images/gr8_logo.png	(from https://gensokyoradio.net/playing/)
16:38:16	1726692/1726692	---M--	200	added ('OK')	application/javascript	etag:%226613c5db-1a58e4%22	https://gensokyoradio.net/fa/js/all.js	C:/My%20Web%20Sites/radio/gensokyoradio.net/fa/js/all.js	(from https://gensokyoradio.net/playing/)
16:38:16	94460/94460	---M--	200	added ('OK')	text/css	etag:%226613c5c8-170fc%22	https://gensokyoradio.net/css/bulma-steps.min.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/bulma-steps.min.css	(from https://gensokyoradio.net/css/style-gr8.css)
16:38:17	2105/2105	---M--	200	added ('OK')	text/css	etag:%226613c5c6-839%22	https://gensokyoradio.net/css/bulma-divider.min.css	C:/My%20Web%20Sites/radio/gensokyoradio.net/css/bulma-divider.min.css	(from https://gensokyoradio.net/css/style-gr8.css)
16:38:17	2224/2224	---M--	200	added ('OK')	image/png	etag:%226613d01f-8b0%22	https://gensokyoradio.net/images/slider-button.png	C:/My%20Web%20Sites/radio/gensokyoradio.net/images/slider-button.png	(from https://gensokyoradio.net/css/volSlider.css)
